제목,저자,출판사,가격,서평,Link,category
소년이 온다,한강,창비,"13,500원","말라파르테 문학상, 만해문학상 수상작 
우리 시대의 소설 『소년이 온다』  

2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』. 이 작품은 『채식주의자』로 인터내셔널 부커상을 수상한 한강 작가에게 “눈을 뗄 수 없는, 보편적이며 깊은 울림”(뉴욕타임즈), “역사와 인간의 본질을 다룬 충격적이고 도발적인 소설”(가디언), “한강을 뛰어넘은 한강의 소설”(문학평론가 신형철)이라는 찬사를 선사한 작품으로, 그간 많은 독자들에게 광주의 상처를 깨우치고 함께 아파하는 문학적인 헌사로 높은 관심과 찬사를 받아왔다. 

『소년이 온다』는 ‘상처의 구조에 대한 투시와 천착의 서사’를 통해 한강만이 풀어낼 수 있는 방식으로 1980년 5월을 새롭게 조명하며, 무고한 영혼들의 말을 대신 전하는 듯한 진심 어린 문장들로 5·18 이후를 살고 있는 우리에게 묵직한 질문을 던진다. 

가장 한국적인 서사로 세계를 사로잡은 한강 문학의 지향점을 보여주는 작품. 인간의 잔혹함과 위대함을 동시에 증언하는 이 충일한 서사는 이렇듯 시공간의 한계를 넘어 인간 역사의 보편성을 보여주며 훼손되지 말아야 할 인간성을 절박하게 복원한다.",http://www.yes24.com//Product/Goods/13137546,경제적 안정과 투자
수연이네 삼 형제 완밥 레시피,유수연,21세기북스,"25,200원","* 해 뜨기 전부터 챙겨 먹는 수연이네 베스트 메뉴 103* 편식 없이 골고루 잘 먹는 우리 아이 평생 습관인스타그램 68만 팔로워“해 뜨기 전부터 챙겨 먹는 수연이네” 첫 요리책!SNS에서 수많은 엄마들에게 찬사를 받는 ‘해 뜨기 전부터 챙겨 먹는 수연이네’의 온 가족 식사를 책으로 만난다. 처음으로 아이가 ‘완밥’했다는 후기가 가득한 등갈비 요리부터 반찬이 필요 없는 한 그릇 요리, 편식하는 아이에게 건강한 식습관을 심어주는 단백질과 채소 요리까지, 어른 밥과 아이 밥을 한 번에 만들어 다 같이 즐길 수 있는 103가지 메뉴를 선보인다.아이와 어른 메뉴를 통일하게 된 것은 아이와 함께 유아식을 먹겠다는 남편의 제안 덕분이었다. 끼니마다 두 번씩 상을 차리는 일을 덜기 위해 시작한 온 가족 식사였지만 처음에는 걱정 반, 기대 반이었다. 하지만 이제는 아이와 식사를 빨리 합친 것이 잘한 일 중 하나라고 여길 정도로 만족하게 되었다. 요리하는 엄마는 일손과 시간을 절약할 수 있었고, 아이들은 어릴 때부터 새로운 재료를 접하며 밥태기와 편식을 건너뛰었다. 온 가족이 도란도란 둘러앉아 함께 밥을 먹으니 식탁 풍경이 단란해진 것 역시 큰 수확이다.이 책에는 레시피뿐만 아니라 알아두면 평생 써먹을 수 있는 다양한 요리 팁이 담겨 있다. 온 가족 식사를 처음 시작할 때 주의할 점, 아이도 어른도 모두 만족하는 재료와 양념의 황금 조합, 어른을 위한 매콤 양념장 비법, 재료나 양념이 없을 때 대체하거나 생략할 수 있는 꿀팁 등 누가 만들어도 맛깔스러운 요리를 완성하도록 돕는다. 맛과 영양을 고루 갖춘 수연이네 레시피는 매일 메뉴 걱정을 하는 부모와 가족을 위해 요리하는 모든 이에게 맛있는 식탁을 선물할 것이다.",http://www.yes24.com//Product/Goods/139646402,스마트폰과 SNS 사용
채식주의자,한강,창비,"13,500원","인터내셔널 부커상, 산클레멘테 문학상 수상작전세계가 주목한 한강의 역작을 다시 만나다 2016년 인터내셔널 부커상을 수상하며 한국문학의 입지를 한단계 확장시킨 한강의 장편소설 『채식주의자』를 15년 만에 새로운 장정으로 선보인다. 상처받은 영혼의 고통과 식물적 상상력의 강렬한 결합을 정교한 구성과 흡인력 있는 문체로 보여주는 이 작품은 섬뜩한 아름다움의 미학을 한강만의 방식으로 완성한 역작이다. “탄탄하고 정교하며 충격적인 작품으로, 독자들의 마음에 그리고 아마도 그들의 꿈에 오래도록 머물 것이다”라는 평을 받으며 인터내셔널 부커상을 수상했던 『채식주의자』는 “미국 문학계에 파문을 일으키면서도 독자들과 공명할 것으로 보인다”(뉴욕타임스), “놀라울 정도로 아름다운 산문과 믿을 수 없을 만큼 폭력적인 내용의 조합이 충격적이다”(가디언)라는 해외서평을 받았고 2018년에는 스페인에서 산클레멘테 문학상을 받는 등 전세계에서 뜨거운 반응을 일으켰다. 『채식주의자』는 어느 날부터 육식을 거부하며 가족들과 갈등을 빚기 시작하는 ‘영혜’가 중심인물로 등장하는 장편소설이다. 하지만 소설은 영혜를 둘러싼 세 인물인 남편, 형부, 언니의 시선에서 서술되며 영혜는 단 한번도 주도적인 화자의 위치를 얻지 못한다. 가족의 이름으로 자행되는 가부장의 폭력, 그리고 그 폭력에 저항하며 금식을 통해 동물성을 벗어던지고 나무가 되고자 한 영혜가 보여주는 식물적 상상력의 경지는 모든 세대 독자를 아우르며 더 크나큰 공명을 이루어낼 것이다.",http://www.yes24.com//Product/Goods/108422348,경제적 안정과 투자
흔한남매 18,흔한남매,미래엔아이세움,"14,220원","온 가족에게 웃음꽃을 선물할 흔한남매의 공감 백배 일상!얼굴에 여드름이 난 흔한남매, 어린 으뜸이의 첫 심부름, 별똥별이 떨어진 날 영혼이 뒤바뀌어 버린 으뜸이와 에이미, 오싹할 정도로 공감되는 이야기, 으뜸이의 이상형 찾기 대작전 등 흔한남매와 함께라면 어느새 환한 웃음꽃이 피어날 거예요.유튜브 285만 구독 돌파! 인기 크리에이터 흔한남매‘흔한남매’는 유튜브 구독자 수가 285만 명, 누적 조회 수가 37억 회를 넘어서는 인기 크리에이터로, 흔한컴퍼니에 소속되어 있습니다. 상황극?콩트 등을 통해 어린이들에게 큰 사랑을 받고 있으며, 주로 남매 사이에서 일어날 수 있는 현실적인 에피소드를 코믹하게 그려 내어 웃음과 공감을 이끌어 내고 있습니다.“흔한남매를 읽고 까르르 웃을 때가 제일 행복한 시간이래요.” ‘유쾌한 우애’와 ‘순수한 웃음’, ‘따뜻한 공감’으로 어린이들의 마음을 사로잡은 No.1 베스트셀러!『흔한남매』 시리즈는 ‘흔한남매’ 유튜브 영상의 스토리를 앙증맞고 유머러스한 만화로 풀어 낸 코믹북입니다. 하루도 조용할 날이 없는 으뜸이와 에이미의 일상 스토리는 진짜 웃음이 필요한 어린이들에게 유쾌한 우애와 순수한 웃음을 선사할 것입니다.",http://www.yes24.com//Product/Goods/140072103,일과 삶의 균형
작별하지 않는다,한강,문학동네,"15,120원","2023 프랑스 메디치 외국문학상 수상

무엇을 생각하면 견딜 수 있나.
가슴에 활활 일어나는 불이 없다면.
기어이 돌아가 껴안을 네가 없다면.

이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터
꿈처럼 스며오는 지극한 사랑의 기억

2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다.",http://www.yes24.com//Product/Goods/103495056,경제적 안정과 투자
서랍에 저녁을 넣어 두었다,한강,문학과지성사,"10,800원","2024 노벨문학상 수상 작가 한강심해의 밤, 침묵에서 길어 올린 핏빛 언어들상처 입은 영혼에 닿는 투명한 빛의 궤적들한강 문학의 시적 기원!“한강의 소설에 등장하는 수많은 그림의 실재가 궁금했던 사람들은 이제 시집 『서랍에 저녁을 넣어 두었다』를 펼치면 된다”1993년 계간 『문학과사회』 겨울호에 시 「서울의 겨울」 외 4편을 발표하고 이듬해 『서울신문』 신춘문예에 단편소설 「붉은 닻」이 당선되어 작품 활동을 시작한 한강이 틈틈이 쓰고 발표한 시들 중 60편을 추려 묶어 데뷔 20년 만에 펴낸 첫 시집이다. 인간 삶의 고독과 비애, 삶과 죽음의 경계에서 맞닥뜨리는 어떤 진실과 본질적인 정서들을 특유의 단단하고 시정 어린 문체로 새겨온 시인은 한국소설문학상(1999), 오늘의 젊은 예술가상(2000), 이상문학상(2005), 동리문학상(2010), 만해문학상(2014), 황순원문학상(2015), 인터내셔널 부커상(2016), 말라파르테 문학상(2017), 김유정문학상(2018), 산클레멘테 문학상(2019), 대산문학상(2022), 메디치 외국문학상(2023), 에밀 기메 아시아문학상(2024), 노벨문학상(2024) 등을 수상한 바 있다. 「저녁의 소묘」 「새벽에 들은 노래」 「피 흐르는 눈」 「거울 저편의 겨울」 연작들의 시편 제목을 일별하는 것만으로도 그 정조가 충분히 감지되는 『서랍에 저녁을 넣어 두었다』에는 어둠과 침묵 속에서 더욱 명징해지는 존재와 언어를 투명하게 대면하는 목소리가 가득하다. “말과 동거”하는 숙명을 안은 채 “고통과 절망의 응시 속에서 반짝이는 깨어 있는 언어-영혼”(문학평론가 조연정)을 발견해가는 환희와 경이의 순간이 여기에 있다.",http://www.yes24.com//Product/Goods/11467936,경제적 안정과 투자
작은 땅의 야수들,김주혜,다산책방,"16,200원","2024 톨스토이 문학상 수상작!잊어선 안 될 우리 역사를 전 세계에 알린 소설“한국 독립의 상징인 호랑이가 등장하는 이 소설은지금 위대한 미래를 앞두고 있다”_파벨 바신스키(톨스토이 문학상 심사위원)《더 타임스》 《뉴욕타임스》 등 영미권 40여 개 주요 매체 극찬전 세계 14개국 번역 출간 · 글로벌 OTT 영상화 진행 중2024년 톨스토이 문학상을 수상한 한국계 미국인 작가 김주혜의 기념비적인 데뷔작.호랑이와 인간이 대치하는 강렬한 프롤로그로 시작하는 『작은 땅의 야수들』은 혼란스러운 시대에 서로 다른 욕망을 품은 다양한 인간 군상들이 운명적으로 얽혀 흥망성쇠하는 장대한 대서사시다. 1917년 일제강점기 조선, 한겨울의 눈 덮인 깊은 산속에서 극한의 추위 속에 굶주림과 싸우며 짐승을 쫓던 사냥꾼이 호랑이에게 공격받고 있던 일본군 대위를 구한다. 이 만남으로부터 그들의 삶은 운명처럼 연결되고, 반세기에 걸친 이야기가 펼쳐진다. 폭넓은 서사와 호흡을 보여준다는 점에서 톨스토이의 작품을 연상케 한다는 평가를 받는 이 소설은 영미권 40여 개 매체가 극찬하고 14개국에 번역 출간되어 읽히며 전 세계에 우리의 역사를 알렸다. 세계 평화에 기여하는 문학 작품에 수여하는 ‘데이턴문학평화상’ 외 3개 문학상 후보에 올랐고, 2024년 마침내 러시아 최고 권위 문학상으로 꼽히는 ‘야스나야 폴랴나상(톨스토이 문학상)’ 해외문학 부문 수상작으로 선정되는 영예를 안았다.눈앞에서 보는 것처럼 생생한 묘사로 독자를 순식간에 경성 한복판으로 데려가는 이 책을 두고 독자들은 “글로 표현된 미술작품”이라 말하며 주인공 가상 캐스팅까지 하기에 이르렀는데 이에 부응하듯 영상화 작업이 진행되고 있어 이 아름다운 이야기가 어떻게 각색될지 기대를 모은다.한국어판은 영어로 먼저 쓰인 ‘우리 이야기’를 모국어로 출간했다는 점에서 의미가 깊다. 우리말의 아름다움을 살리기 위해 번역에 세심한 공을 들였고, 특별히 한국 독자들에게 전하는 저자의 메시지를 수록했다. “번역된 소설이라고는 믿지 못할 만큼 한국의 고유한 정서를 정확하게 표현했다”는 독자들의 찬사가 이어지며 모국어 판본의 높은 가치를 인정받아 ‘한국인이라면 반드시 읽어야 하는 소설’로 자리매김했다.",http://www.yes24.com//Product/Goods/119149162,스마트폰과 SNS 사용
하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,"21,420원","“오늘부터 하루 한 장, 나의 어휘력을 위한 필사를 시작합니다”- 20만 독자가 선택한 필사 열풍 화제의 도서!필사 노트의 대명사 ‘컴포지션 에디션’ 출간 출간 즉시 인문 분야 베스트셀러에 오르며, 필사 열풍을 몰고 온 『하루 한 장 나의 어휘력을 위한 필사 노트』가 컴포지션 에디션으로 새롭게 독자들과 만난다. 그동안 필사를 어렵게만 생각했던 독자들은 이 책을 통해 필사를 경험하며 스마트폰을 내려놓고 손에 펜을 쥐게 한 ‘인생 책’이라는 극찬을 아끼지 않았다. 동서고금을 아우르는 양질의 도서 추천은 물론이고, 필사의 효용을 두루 짚어내며 어휘력을 늘리기 위한 필사 가이드까지 알차게 담겨 있어 이제 막 필사를 시작하는 입문자들의 뜨거운 호응을 받았다. 필사 노트의 대명사인 컴포지션 스튜디오와의 협업을 통해 선보이는 이번 ‘컴포지션 에디션’은 필사의 아날로그 감성과 디테일을 더하며 더욱 소장 가치를 높였다.",http://www.yes24.com//Product/Goods/125557465,스마트폰과 SNS 사용
흰,한강,문학동네,"13,050원","고독과 고요, 그리고 용기.이 책이 나에게 숨처럼 불어넣어준 것은 그것들이었다.2018년 봄, 한강 작가의 소설 『흰』을 새롭게 선보인다. 이 년 전 오월에 세상에 나와 빛의 겹겹 오라기로 둘러싸인 적 있던 그 『흰』에 새 옷을 입히게 된 건 소설 발간에 즈음해 행했던 작가의 퍼포먼스가 글과 함께 배었으면 하는 바람에서였다. 작가의 고요하고 느린 퍼포먼스들은 최진혁 작가가 제작한 영상 속에서 그녀의 언니-아기를 위한 행위들을 ‘언어 없는 언어’로 보여준다. 그리하여 다시 만나게 된 한강 작가의 소설 『흰』은 수를 놓듯 땀을 세어가며 지은 책, 그런 땀방울로 얼룩진 책이다. 이참이 아니라면 ‘흰’이라는 한 글자에 매달려 그가 파생시킨 세상 모든 ‘흰 것’들의 안팎을 헤집어볼 수가 있었을까. ‘흰’이라는 한 글자를 뚫어지게 쳐다보고 있노라니 ‘흰’이라는 한 글자의 생김과 발음에서 끓어 넘친 숭늉처럼 찐득찐득한 슬픔 같은 게 밀려든다. ‘흰’, 안다고 말할 수도, 또 모른다고 말할 수도 없는 이 기묘하고 미묘한 ‘흰’의 세계 속에서 한강이 끌어올린 서사는 놀라우리만치 넓고 깊다. 예민하면서도 섬세한 특유의 감각으로 예리하게 건져올린 사유는 얼음처럼 차갑고 막 빻아져 나온 뼛가루처럼 뜨겁다. 한강이 백지 위에 힘껏 눌러 쓴 소설 『흰』. 그 밖의 모든 흰 것을 말하는 소설 『흰』. 『흰』은 결코 더럽혀지지 않는, 절대로 더럽혀질 수가 없는 어떤 흰 것에 관한 이야기다.",http://www.yes24.com//Product/Goods/60524285,외모와 자신감
이처럼 사소한 것들,클레어 키건,다산책방,"12,420원","한 세대에 한 명씩만 나오는 작가, 클레어 키건의 대표작!

* 문학평론가 신형철, 르포작가 은유 추천	
* 2022 부커상 최종후보
* 2022 오웰상 소설 부문 수상	
* 킬리언 머피 주연·제작 영화화

2023년 4월 국내에 처음 소개된 『맡겨진 소녀』로 국내 문인들과 문학 독자들의 열렬한 환호를 받은 클레어 키건의 대표작 『이처럼 사소한 것들』이 다산책방에서 번역 출간되었다. 작가가 전작 『맡겨진 소녀』 이후 11년 만에 세상에 내놓은 소설로, 자국에서는 이미 오래전부터 거장의 반열에 오른 키건에게 미국을 넘어 세계적인 명성을 안겨준 작품이다. 2022년 부커상 최종후보에 오르고, 같은 해 오웰상(소설 부문), 케리그룹 문학상 등 유수의 문학상을 휩쓸었으며, 특히 부커상 심사위원회는 “아름답고 명료하며 실리적인 소설”이라는 평을 보내며 이 소설이 키건의 정수가 담긴 작품임을 알렸다. 전 세계 독자들의 사랑과 언론의 호평을 받으며 베스트셀러에 오른 이 책은, 자신이 속한 사회 공동체의 은밀한 공모를 발견하고 자칫 모든 걸 잃을 수 있는 선택 앞에서 고뇌하는 한 남자의 내면을 그린 작품이다. 키건 특유의 섬세한 관찰과 정교한 문체로 한 인간의 도덕적 동요와 내적 갈등, 실존적 고민을 치밀하게 담아냈다. 저자의 열렬한 팬으로 유명한 아일랜드 출신의 배우 킬리언 머피는 직접 제작과 주연을 맡아 이 소설을 영화로 만들고 있으며 현재 모든 촬영을 마친 상태이다.",http://www.yes24.com//Product/Goods/123400303,경제적 안정과 투자
